Question,Answer
What is your return policy?,Products can be returned within 30 days of delivery.
How long does shipping take?,Standard shipping takes 3 to 5 business days.
Do you offer express delivery?,"Yes, express delivery is available in selected cities."
How can I track my order?,Use your order ID on the Track Order page.
What payment methods do you accept?,"UPI, Debit Card, Credit Card, Net Banking, Cash on Delivery, and Wallets."
Can I cancel my order?,"Yes, before the order is shipped."
How do I request a refund?,"Go to My Orders, select the order, and click Request Refund."
Is Cash on Delivery available?,"Yes, for selected PIN codes."
How can I contact customer support?,Email support@example.com or use the live chat.
Do your products have warranty?,Warranty depends on the product and brand.
